model,target,location_case,data_path,target_transform,n_features,train_rmse_norm,train_r2_norm,test_rmse_norm,test_r2_norm,train_rmse_original,train_r2_original,test_rmse_original,test_r2_original,used_columns,drop_outliers,outlier_quantile,n_samples
mlp,price,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0917621251182513,0.6323084059980466,0.1130535457414713,0.4621719730953197,176642.09121856026,0.6323084044746492,217628.07260725013,0.4621719876517848,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
mlp,price,address_encoded,data/raw/latlong_added.csv,minmax_0_1,28,0.056352933715249,0.8613276625418078,0.0823818424010516,0.7144132493469371,108479.39747628856,0.8613276623515054,158585.0438027507,0.7144132595010746,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|city|age|log_sqft_lot|zipcode|city_freq|zipcode_freq|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
mlp,price,xyz,data/raw/latlong_added.csv,minmax_0_1,27,0.0686140098361531,0.7944192829208042,0.0983535926364218,0.5929427341828435,132081.9676218327,0.7944192870073358,189330.6616108573,0.5929427523039758,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|x|y|z|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
mlp,price,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0927537821143328,0.6243183086845103,0.1114539367085253,0.4772838957534805,178551.03064150806,0.6243183083839783,214548.8275729951,0.477283898632838,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
dt,price_per_sqft,none,data/raw/latlong_added.csv,minmax_0_1,14,0.1387133479051696,0.3395362825567305,0.1580542380861998,0.1904598807082441,80.28554979226544,0.3395362825567307,91.47981498091474,0.1904598807082442,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|age|was_renovated|has_basement|log_sqft_lot|age_bin,True,0.99,4049.0
mlp,price_per_sqft,none,data/raw/latlong_added.csv,minmax_0_1,24,0.1391731869724122,0.3351501088613478,0.1536990367332849,0.2344591382372806,80.5516996370617,0.3351500965222547,88.95907914542528,0.2344591347445846,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,True,0.99,4049.0
mlp,price_per_sqft,none,data/raw/latlong_added.csv,minmax_0_1,24,0.0184653161623978,-0.0090521623637884,0.0060346015811962,-0.0918209829244003,416.09555659549216,-0.0090521624645818,135.98309840601013,-0.0918209839461734,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,False,0.99,4140.0
dt,price_per_sqft,none,data/raw/latlong_added.csv,minmax_0_1,14,0.0130878940131973,0.4930797269221653,0.0054347353665293,0.1144541835203398,294.9212727211176,0.4930797269221654,122.46577406441938,0.1144541835203399,bedrooms|bathrooms|sqft_living|floors|waterfront|view|condition|sqft_above|sqft_basement|age|was_renovated|has_basement|log_sqft_lot|age_bin,False,0.99,4140.0
mlp,price_per_sqft,address_encoded,data/raw/latlong_added.csv,minmax_0_1,28,0.0186109452506051,-0.0250309633357412,0.006302381918054,-0.1908681137277754,419.3771488573488,-0.0250309692932326,142.01723653378454,-0.1908681692817189,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|city|age|log_sqft_lot|zipcode|city_freq|zipcode_freq|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,False,0.99,4140.0
mlp,price_per_sqft,xyz,data/raw/latlong_added.csv,minmax_0_1,27,0.018384523005160542,-0.00024146471853581097,0.005782239782371389,-0.002412391743733089,414.2749718150295,-0.00024146485978393528,130.29640331611802,-0.0024123930446091624,bedrooms|bathrooms|sqft_living|floors|sqft_above|sqft_basement|age|log_sqft_lot|x|y|z|condition_1|condition_2|condition_3|condition_4|condition_5|view_0|view_1|view_2|view_3|view_4|waterfront_0|waterfront_1|was_renovated_0|was_renovated_1|has_basement_0|has_basement_1,False,0.99,4140.0
